date,game_name,steam_appid,player_count
2026-03-26 13:00,Neon Abyss 2,2235200,205
2026-03-26 13:00,The Drifter,1170570,40
2026-03-26 13:00,Wildgate,3504780,11
2026-03-26 13:00,Wuchang: Fallen Feathers,2277560,3434
2026-03-26 13:00,Arena Breakout: Infinite,2073620,17410
2026-03-26 13:00,Borderlands 4,1285190,3123
2026-03-26 13:00,Hades II,1145350,6453
2026-03-26 13:00,Silent Hill f,2947440,1093
2026-03-26 13:00,Stick it to the Stickman,2085540,118
2026-03-26 13:00,The Outer Worlds 2,1449110,463
2026-03-26 13:00,Jurassic World Evolution 3,2958130,1413
2026-03-26 13:00,Avowed,2457220,317
2026-03-26 13:00,Routine,3402170,0
2026-03-26 13:00,Nioh 3,3681010,5757
2026-03-26 13:00,Mewgenics,686060,20330
2026-03-26 13:00,Cairn,1588550,1273
2026-03-26 13:00,ReAnimal,2129530,1184
2026-03-26 13:00,High on life 2,2069250,81
2026-03-26 14:00,Marvel Rivals,2767030,50016
2026-03-26 14:00,Path of Exile 2,2694490,7108
2026-03-26 14:00,The Stone of Madness,1309710,5
2026-03-26 14:00,Hyper Light Drifter,257850,15
2026-03-26 14:00,Hyper Light Breaker,1534840,2
2026-03-26 14:00,FREEDOM WARS Remastered,3004100,29
2026-03-26 14:00,DYNASTY WARRIORS: ORIGINS,2384580,3283
2026-03-26 14:00,Palworld,1623730,40054
2026-03-26 14:00,HELLDIVERS 2,553850,48688
2026-03-26 14:00,Black Myth: Wukong,2358720,17944
2026-03-26 14:00,Orcs Must Die! Deathtrap,2273980,261
2026-03-26 14:00,Kingdom Come: Deliverance II,1771300,22791
2026-03-26 14:00,Split Fiction,2001120,15579
2026-03-26 14:00,Sid Meier's Civilization VII,1295660,5735
2026-03-26 14:00,Monster Hunter Wilds,2246340,28444
2026-03-26 14:00,Lost Records: Bloom & Rage,1902960,56
2026-03-26 14:00,The Legend of Heroes: Trails through Daybreak II,2668430,43
2026-03-26 14:00,Atomfall,801800,377
2026-03-26 14:00,Wanderstop,1299460,19
2026-03-26 14:00,Schedule I,3164500,14868
2026-03-26 14:00,R.E.P.O.,3241660,54486
2026-03-26 14:00,inZOI,2456740,2415
2026-03-26 14:00,Grimoire Groves,1830430,0
2026-03-26 14:00,Crashlands,391730,130
2026-03-26 14:00,Crashlands 2,1401730,165
2026-03-26 14:00,Mandragora: Whispers of the Witch Tree,1721060,96
2026-03-26 14:00,Clair Obscur: Expedition 33,1903340,9209
2026-03-26 14:00,Assassin's Creed Shadows,3159330,4647
2026-03-26 14:00,"Yes, Your Grace: Snowfall",1373090,19
2026-03-26 14:00,Survival Machine,1601330,18
2026-03-26 14:00,RoadCraft,2104890,2289
2026-03-26 14:00,The Precinct,490110,237
2026-03-26 14:00,Elden Ring: Nightreign,2622380,41363
2026-03-26 14:00,DOOM: The Dark Ages,3017860,1368
2026-03-26 14:00,Deliver At All Costs,1880610,1
2026-03-26 14:00,Blue Prince,1569580,1121
2026-03-26 14:00,Tinkerlands,2617700,218
2026-03-26 14:00,Stellar Blade,3489700,5702
2026-03-26 14:00,JDM: Japanese Drift Master,1153410,120
2026-03-26 14:00,Gex Trilogy,3183970,7
2026-03-26 14:00,FBC: Firebreak,2272540,13
2026-03-26 14:00,Dune: Awakening,1172710,6307
2026-03-26 14:00,Deltarune,1671210,779
2026-03-26 14:00,Crime Simulator,2737070,2374
2026-03-26 14:00,The Alters,1601570,356
2026-03-26 14:00,Neon Abyss 2,2235200,199
2026-03-26 14:00,The Drifter,1170570,42
2026-03-26 14:00,Wildgate,3504780,9
2026-03-26 14:00,Wuchang: Fallen Feathers,2277560,3443
2026-03-26 14:00,Killing Floor 3,1430190,436
2026-03-26 14:00,Grounded 2,2661300,1725
2026-03-26 14:00,Metal Gear Solid Δ: Snake Eater,2417610,494
2026-03-26 14:00,Arena Breakout: Infinite,2073620,17985
2026-03-26 14:00,Borderlands 4,1285190,3284
2026-03-26 14:00,Hades II,1145350,6576
2026-03-26 14:00,Dying Light: The Beast,3008130,2842
2026-03-26 14:00,Hollow Knight Silksong,1030300,11404
2026-03-26 14:00,Silent Hill f,2947440,1110
2026-03-26 14:00,Mafia: The Old Country,1941540,411
2026-03-26 14:00,Cronos: The New Dawn,2101960,160
2026-03-26 14:00,Sword of the sea,2453160,20
2026-03-26 14:00,Battlefield 6,2807960,36263
2026-03-26 14:00,Megabonk ,3405340,6455
2026-03-26 14:00,Little Nightmares 3,1392860,380
2026-03-26 14:00,Stick it to the Stickman,2085540,132
2026-03-26 14:00,Vampire: The Masquerade - Bloodlines 2,532790,128
2026-03-26 14:00,ARC Raiders,1808500,65316
2026-03-26 14:00,The Outer Worlds 2,1449110,491
2026-03-26 14:00,Escape from Duckov,3167020,6762
2026-03-26 14:00,Ninja Gaiden 4,2627260,559
2026-03-26 14:00,Jurassic World Evolution 3,2958130,1423
2026-03-26 14:00,Europa Universalis V,3450310,8306
2026-03-26 14:00,Dispatch ,2592160,2897
2026-03-26 14:00,South of Midnight,1934570,18
2026-03-26 14:00,Sonic Racing: CrossWorlds,2486820,846
2026-03-26 14:00,Peak,923260,5
2026-03-26 14:00,Indiana Jones and the Great Circle,2677660,275
2026-03-26 14:00,F1 25,3059520,8723
2026-03-26 14:00,Escape from Tarkov,3932890,16741
2026-03-26 14:00,BALL x PIT,2062430,2061
2026-03-26 14:00,Avowed,2457220,349
2026-03-26 14:00,Absolum,1904480,570
2026-03-26 14:00,Routine,3402170,0
2026-03-26 14:00,Terra Invicta,1176470,904
2026-03-26 14:00,StarRupture,1631270,3032
2026-03-26 14:00,Nioh 3,3681010,5712
2026-03-26 14:00,Mewgenics,686060,21394
2026-03-26 14:00,Cairn,1588550,1344
2026-03-26 14:00,ReAnimal,2129530,1238
2026-03-26 14:00,High on life 2,2069250,86
2026-03-26 23:00,Marvel Rivals,2767030,92251
2026-03-26 23:00,Path of Exile 2,2694490,7210
2026-03-26 23:00,The Stone of Madness,1309710,6
2026-03-26 23:00,Hyper Light Drifter,257850,31
2026-03-26 23:00,Hyper Light Breaker,1534840,2
2026-03-26 23:00,FREEDOM WARS Remastered,3004100,7
2026-03-26 23:00,DYNASTY WARRIORS: ORIGINS,2384580,475
2026-03-26 23:00,Palworld,1623730,19879
2026-03-26 23:00,HELLDIVERS 2,553850,41084
2026-03-26 23:00,Black Myth: Wukong,2358720,3017
2026-03-26 23:00,Orcs Must Die! Deathtrap,2273980,226
2026-03-26 23:00,Kingdom Come: Deliverance II,1771300,14896
2026-03-26 23:00,Split Fiction,2001120,2514
2026-03-26 23:00,Sid Meier's Civilization VII,1295660,5806
2026-03-26 23:00,Monster Hunter Wilds,2246340,11069
2026-03-26 23:00,Lost Records: Bloom & Rage,1902960,76
2026-03-26 23:00,The Legend of Heroes: Trails through Daybreak II,2668430,61
2026-03-26 23:00,Atomfall,801800,381
2026-03-26 23:00,Wanderstop,1299460,32
2026-03-26 23:00,Schedule I,3164500,21744
2026-03-26 23:00,R.E.P.O.,3241660,18974
2026-03-26 23:00,inZOI,2456740,2620
2026-03-26 23:00,Grimoire Groves,1830430,2
2026-03-26 23:00,Crashlands,391730,29
2026-03-26 23:00,Crashlands 2,1401730,34
2026-03-26 23:00,Mandragora: Whispers of the Witch Tree,1721060,89
2026-03-26 23:00,Clair Obscur: Expedition 33,1903340,7554
2026-03-26 23:00,Assassin's Creed Shadows,3159330,2247
2026-03-26 23:00,"Yes, Your Grace: Snowfall",1373090,14
2026-03-26 23:00,Survival Machine,1601330,8
2026-03-26 23:00,RoadCraft,2104890,1935
2026-03-26 23:00,The Precinct,490110,220
2026-03-26 23:00,Elden Ring: Nightreign,2622380,10887
2026-03-26 23:00,DOOM: The Dark Ages,3017860,1130
2026-03-26 23:00,Deliver At All Costs,1880610,5
2026-03-26 23:00,Blue Prince,1569580,1802
2026-03-26 23:00,Tinkerlands,2617700,96
2026-03-26 23:00,Stellar Blade,3489700,1750
2026-03-26 23:00,JDM: Japanese Drift Master,1153410,89
2026-03-26 23:00,Gex Trilogy,3183970,4
2026-03-26 23:00,FBC: Firebreak,2272540,14
2026-03-26 23:00,Dune: Awakening,1172710,8410
2026-03-26 23:00,Deltarune,1671210,1062
2026-03-26 23:00,Crime Simulator,2737070,1193
2026-03-26 23:00,The Alters,1601570,251
2026-03-26 23:00,Neon Abyss 2,2235200,73
2026-03-26 23:00,The Drifter,1170570,55
2026-03-26 23:00,Wildgate,3504780,19
2026-03-26 23:00,Wuchang: Fallen Feathers,2277560,324
2026-03-26 23:00,Killing Floor 3,1430190,420
2026-03-26 23:00,Grounded 2,2661300,1452
2026-03-26 23:00,Metal Gear Solid Δ: Snake Eater,2417610,594
2026-03-26 23:00,Arena Breakout: Infinite,2073620,16018
2026-03-26 23:00,Borderlands 4,1285190,16545
2026-03-26 23:00,Hades II,1145350,5508
2026-03-26 23:00,Dying Light: The Beast,3008130,3515
2026-03-26 23:00,Hollow Knight Silksong,1030300,7203
2026-03-26 23:00,Silent Hill f,2947440,859
2026-03-26 23:00,Mafia: The Old Country,1941540,288
2026-03-26 23:00,Cronos: The New Dawn,2101960,186
2026-03-26 23:00,Sword of the sea,2453160,26
2026-03-26 23:00,Battlefield 6,2807960,34832
2026-03-26 23:00,Megabonk ,3405340,7191
2026-03-26 23:00,Little Nightmares 3,1392860,235
2026-03-26 23:00,Stick it to the Stickman,2085540,124
2026-03-26 23:00,Vampire: The Masquerade - Bloodlines 2,532790,165
2026-03-26 23:00,ARC Raiders,1808500,101721
2026-03-26 23:00,The Outer Worlds 2,1449110,643
2026-03-26 23:00,Escape from Duckov,3167020,1217
2026-03-26 23:00,Ninja Gaiden 4,2627260,160
2026-03-26 23:00,Jurassic World Evolution 3,2958130,1680
2026-03-26 23:00,Europa Universalis V,3450310,7909
2026-03-26 23:00,Dispatch ,2592160,3234
2026-03-26 23:00,South of Midnight,1934570,24
2026-03-26 23:00,Sonic Racing: CrossWorlds,2486820,1128
2026-03-26 23:00,Peak,923260,3
2026-03-26 23:00,Indiana Jones and the Great Circle,2677660,301
2026-03-26 23:00,F1 25,3059520,5246
2026-03-26 23:00,Escape from Tarkov,3932890,7265
2026-03-26 23:00,BALL x PIT,2062430,1735
2026-03-26 23:00,Avowed,2457220,465
2026-03-26 23:00,Absolum,1904480,571
2026-03-26 23:00,Routine,3402170,0
2026-03-26 23:00,Terra Invicta,1176470,963
2026-03-26 23:00,StarRupture,1631270,3308
2026-03-26 23:00,Nioh 3,3681010,1744
2026-03-26 23:00,Mewgenics,686060,23301
2026-03-26 23:00,Cairn,1588550,959
2026-03-26 23:00,ReAnimal,2129530,908
2026-03-26 23:00,High on life 2,2069250,148
2026-03-29 23:00,Marvel Rivals,2767030,97606
2026-03-29 23:00,Path of Exile 2,2694490,7798
2026-03-29 23:00,The Stone of Madness,1309710,9
2026-03-29 23:00,Hyper Light Drifter,257850,41
2026-03-29 23:00,Hyper Light Breaker,1534840,4
2026-03-29 23:00,FREEDOM WARS Remastered,3004100,6
2026-03-29 23:00,DYNASTY WARRIORS: ORIGINS,2384580,510
2026-03-29 23:00,Palworld,1623730,24954
2026-03-29 23:00,HELLDIVERS 2,553850,46722
2026-03-29 23:00,Black Myth: Wukong,2358720,3392
2026-03-29 23:00,Orcs Must Die! Deathtrap,2273980,242
2026-03-29 23:00,Kingdom Come: Deliverance II,1771300,15800
2026-03-29 23:00,Split Fiction,2001120,3301
2026-03-29 23:00,Sid Meier's Civilization VII,1295660,7079
2026-03-29 23:00,Monster Hunter Wilds,2246340,12375
2026-03-29 23:00,Lost Records: Bloom & Rage,1902960,112
2026-03-29 23:00,The Legend of Heroes: Trails through Daybreak II,2668430,78
2026-03-29 23:00,Atomfall,801800,356
2026-03-29 23:00,Wanderstop,1299460,31
2026-03-29 23:00,Schedule I,3164500,27566
2026-03-29 23:00,R.E.P.O.,3241660,24842
2026-03-29 23:00,inZOI,2456740,2996
2026-03-29 23:00,Grimoire Groves,1830430,3
2026-03-29 23:00,Crashlands 2,1401730,25
2026-03-29 23:00,Mandragora: Whispers of the Witch Tree,1721060,86
2026-03-29 23:00,Clair Obscur: Expedition 33,1903340,8685
2026-03-29 23:00,Assassin's Creed Shadows,3159330,2413
2026-03-29 23:00,"Yes, Your Grace: Snowfall",1373090,11
2026-03-29 23:00,Survival Machine,1601330,4
2026-03-29 23:00,RoadCraft,2104890,2180
2026-03-29 23:00,The Precinct,490110,242
2026-03-29 23:00,Elden Ring: Nightreign,2622380,12237
2026-03-29 23:00,Deliver At All Costs,1880610,4
2026-03-29 23:00,Blue Prince,1569580,2194
2026-03-29 23:00,Tinkerlands,2617700,104
2026-03-29 23:00,Stellar Blade,3489700,2075
2026-03-29 23:00,JDM: Japanese Drift Master,1153410,78
2026-03-29 23:00,FBC: Firebreak,2272540,27
2026-03-29 23:00,Crime Simulator,2737070,1371
2026-03-29 23:00,The Alters,1601570,283
2026-03-29 23:00,Neon Abyss 2,2235200,84
2026-03-29 23:00,The Drifter,1170570,50
2026-03-29 23:00,Wildgate,3504780,25
2026-03-29 23:00,Killing Floor 3,1430190,518
2026-03-29 23:00,Grounded 2,2661300,2388
2026-03-29 23:00,Metal Gear Solid Δ: Snake Eater,2417610,676
2026-03-29 23:00,Arena Breakout: Infinite,2073620,16193
2026-03-29 23:00,Borderlands 4,1285190,13266
2026-03-29 23:00,Hades II,1145350,6509
2026-03-29 23:00,Dying Light: The Beast,3008130,4709
2026-03-29 23:00,Hollow Knight Silksong,1030300,8394
2026-03-29 23:00,Cronos: The New Dawn,2101960,204
2026-03-29 23:00,Sword of the sea,2453160,27
2026-03-29 23:00,Battlefield 6,2807960,37744
2026-03-29 23:00,Megabonk ,3405340,7198
2026-03-29 23:00,Little Nightmares 3,1392860,235
2026-03-29 23:00,Stick it to the Stickman,2085540,136
2026-03-29 23:00,Vampire: The Masquerade - Bloodlines 2,532790,180
2026-03-29 23:00,ARC Raiders,1808500,115249
2026-03-29 23:00,The Outer Worlds 2,1449110,791
2026-03-29 23:00,Escape from Duckov,3167020,1154
2026-03-29 23:00,Ninja Gaiden 4,2627260,153
2026-03-29 23:00,Jurassic World Evolution 3,2958130,1925
2026-03-29 23:00,Europa Universalis V,3450310,8098
2026-03-29 23:00,Dispatch ,2592160,3025
2026-03-29 23:00,South of Midnight,1934570,63
2026-03-29 23:00,Sonic Racing: CrossWorlds,2486820,2042
2026-03-29 23:00,Peak,923260,2
2026-03-29 23:00,Indiana Jones and the Great Circle,2677660,371
2026-03-29 23:00,BALL x PIT,2062430,1636
2026-03-29 23:00,Avowed,2457220,550
2026-03-29 23:00,Absolum,1904480,634
2026-03-29 23:00,Routine,3402170,0
2026-03-29 23:00,Terra Invicta,1176470,1075
2026-03-29 23:00,StarRupture,1631270,3689
2026-03-29 23:00,Nioh 3,3681010,1861
2026-03-29 23:00,Mewgenics,686060,23516
2026-03-29 23:00,Cairn,1588550,860
2026-03-29 23:00,ReAnimal,2129530,1219
2026-03-29 23:00,High on life 2,2069250,212
2026-03-30 12:00,Marvel Rivals,2767030,35196
2026-03-30 12:00,Path of Exile 2,2694490,6065
2026-03-30 12:00,The Stone of Madness,1309710,4
2026-03-30 12:00,Hyper Light Drifter,257850,20
2026-03-30 12:00,Hyper Light Breaker,1534840,0
2026-03-30 12:00,FREEDOM WARS Remastered,3004100,13
2026-03-30 12:00,DYNASTY WARRIORS: ORIGINS,2384580,2344
2026-03-30 12:00,Palworld,1623730,34840
2026-03-30 12:00,HELLDIVERS 2,553850,31654
2026-03-30 12:00,Black Myth: Wukong,2358720,13532
2026-03-30 12:00,Orcs Must Die! Deathtrap,2273980,174
2026-03-30 12:00,Kingdom Come: Deliverance II,1771300,18164
2026-03-30 12:00,Split Fiction,2001120,7987
2026-03-30 12:00,Sid Meier's Civilization VII,1295660,4896
2026-03-30 12:00,Monster Hunter Wilds,2246340,19908
2026-03-30 12:00,Lost Records: Bloom & Rage,1902960,61
2026-03-30 12:00,The Legend of Heroes: Trails through Daybreak II,2668430,45
2026-03-30 12:00,Atomfall,801800,238
2026-03-30 12:00,Wanderstop,1299460,13
2026-03-30 12:00,Schedule I,3164500,13334
2026-03-30 12:00,R.E.P.O.,3241660,27077
2026-03-30 12:00,inZOI,2456740,2154
2026-03-30 12:00,Grimoire Groves,1830430,0
2026-03-30 12:00,Crashlands,391730,91
2026-03-30 12:00,Crashlands 2,1401730,93
2026-03-30 12:00,Mandragora: Whispers of the Witch Tree,1721060,78
2026-03-30 12:00,Clair Obscur: Expedition 33,1903340,7016
2026-03-30 12:00,Assassin's Creed Shadows,3159330,3505
2026-03-30 12:00,"Yes, Your Grace: Snowfall",1373090,9
2026-03-30 12:00,Survival Machine,1601330,10
2026-03-30 12:00,RoadCraft,2104890,1935
2026-03-30 12:00,The Precinct,490110,194
2026-03-30 12:00,Elden Ring: Nightreign,2622380,28494
2026-03-30 12:00,DOOM: The Dark Ages,3017860,807
2026-03-30 12:00,Deliver At All Costs,1880610,3
2026-03-30 12:00,Blue Prince,1569580,881
2026-03-30 12:00,Tinkerlands,2617700,197
2026-03-30 12:00,Stellar Blade,3489700,4139
2026-03-30 12:00,JDM: Japanese Drift Master,1153410,81
2026-03-30 12:00,Gex Trilogy,3183970,2
2026-03-30 12:00,FBC: Firebreak,2272540,15
2026-03-30 12:00,Dune: Awakening,1172710,5216
2026-03-30 12:00,Deltarune,1671210,680
2026-03-30 12:00,Crime Simulator,2737070,1278
2026-03-30 12:00,The Alters,1601570,231
2026-03-30 12:00,Neon Abyss 2,2235200,202
2026-03-30 12:00,The Drifter,1170570,34
2026-03-30 12:00,Wildgate,3504780,4
2026-03-30 12:00,Wuchang: Fallen Feathers,2277560,2752
2026-03-30 12:00,Killing Floor 3,1430190,334
2026-03-30 12:00,Grounded 2,2661300,1429
2026-03-30 12:00,Metal Gear Solid Δ: Snake Eater,2417610,318
2026-03-30 12:00,Arena Breakout: Infinite,2073620,14359
2026-03-30 12:00,Borderlands 4,1285190,6930
2026-03-30 12:00,Hades II,1145350,5268
2026-03-30 12:00,Dying Light: The Beast,3008130,4496
2026-03-30 12:00,Hollow Knight Silksong,1030300,9108
2026-03-30 12:00,Silent Hill f,2947440,715
2026-03-30 12:00,Mafia: The Old Country,1941540,339
2026-03-30 12:00,Cronos: The New Dawn,2101960,104
2026-03-30 12:00,Sword of the sea,2453160,13
2026-03-30 12:00,Megabonk ,3405340,4680
2026-03-30 12:00,Little Nightmares 3,1392860,255
2026-03-30 12:00,Stick it to the Stickman,2085540,85
2026-03-30 12:00,Vampire: The Masquerade - Bloodlines 2,532790,113
2026-03-30 12:00,ARC Raiders,1808500,50963
2026-03-30 12:00,The Outer Worlds 2,1449110,359
2026-03-30 12:00,Escape from Duckov,3167020,5456
2026-03-30 12:00,Ninja Gaiden 4,2627260,313
2026-03-30 12:00,Jurassic World Evolution 3,2958130,1156
2026-03-30 12:00,Europa Universalis V,3450310,7355
2026-03-30 12:00,Dispatch ,2592160,1608
2026-03-30 12:00,South of Midnight,1934570,20
2026-03-30 12:00,Sonic Racing: CrossWorlds,2486820,429
2026-03-30 12:00,Peak,923260,2
